Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/12H5OJ94iSaoe5yOwkJnUuSHpRc0nA0GR1Tm7_FBzbLM/export?format=csv

---

id,TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,condition,availability,root links,item_group_id,shape,length,additional_variant_attribute,additional_image_link,fb_product_category
JUICEGELS-0011,Blooming Tips,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,https://juicegels.com/images/JUICEGELS-0011.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0011?shape=Coffin&length=Medium,Juicegels_BloomingTipsSet,Coffin,Medium,Shape:Coffin,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0012,Blooming Tips,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,https://juicegels.com/images/JUICEGELS-0012.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0012?shape=Coffin&length=Long,Juicegels_BloomingTipsSet,Coffin,Long,Shape:Coffin,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0013,Blooming Tips,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,https://juicegels.com/images/JUICEGELS-0013.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0013?shape=Almond&length=Short,Juicegels_BloomingTipsSet,Almond,Short,Shape:Almond,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0014,Blooming Tips,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,https://juicegels.com/images/JUICEGELS-0014.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0014?shape=Almond&length=Medium,Juicegels_BloomingTipsSet,Almond,Medium,Shape:Almond,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0015,Blooming Tips,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,https://juicegels.com/images/JUICEGELS-0015.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0015?shape=Almond&length=Long,Juicegels_BloomingTipsSet,Almond,Long,Shape:Almond,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0016,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0016.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0016?shape=Square&length=Short,Juicegels_StellarShineSet,Square,Short,Shape:Square,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0017,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0017.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0017?shape=Square&length=Medium,Juicegels_StellarShineSet,Square,Medium,Shape:Square,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0018,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0018.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0018?shape=Square&length=Long,Juicegels_StellarShineSet,Square,Long,Shape:Square,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0019,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0019.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0019?shape=Oval&length=Short,Juicegels_StellarShineSet,Oval,Short,Shape:Oval,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
JUICEGELS-0020,Stellar Shine,"All Nail Sets Include: 1x mini nail file, 1x cuticle pusher, 1x mini buffer block, 1x Nail Glue",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,https://juicegels.com/images/JUICEGELS-0020.jpg,https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0020?shape=Oval&length=Medium,Juicegels_StellarShineSet,Oval,Medium,Shape:Oval,"https://juicegels.com/images/coin.jpeg,https://juicegels.com/images/nailsize.jpg,https://juicegels.com/images/tape.jpg",799
