id,TITLE,META_TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,condition,availability,root links,item_group_id,shape,length
JUICEGELS-0011,Blooming Tips Set,Blooming Tips Set - Coffin,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0011_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0011?shape=Coffin&length=Medium,Juicegels_BloomingTipsSet_Coffin,Coffin,Medium
JUICEGELS-0012,Blooming Tips Set,Blooming Tips Set - Coffin,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0012_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0012?shape=Coffin&length=Long,Juicegels_BloomingTipsSet_Coffin,Coffin,Long
JUICEGELS-0013,Blooming Tips Set,Blooming Tips Set - Almond,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0013_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0013?shape=Almond&length=Short,Juicegels_BloomingTipsSet_Almond,Almond,Short
JUICEGELS-0014,Blooming Tips Set,Blooming Tips Set - Almond,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0014_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0014?shape=Almond&length=Medium,Juicegels_BloomingTipsSet_Almond,Almond,Medium
JUICEGELS-0015,Blooming Tips Set,Blooming Tips Set - Almond,"French tips with branches and 3d flowers with pearl centre- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17,GBP,20,"cute_press_on_nails,bear_nails,pearly_nails,pearl_nails,3d_gems,3d_nails,kawaii_nails",,docs/images/products/JUICEGELS-0015_720675077_1035429542379937_2392530197766907696_n.jpg,https://juicegels.com/images/products/il_fullxfull.6603451255_tg7j.jpg,https://juicegels.com/images/products/il_fullxfull.6555330384_qzf9.jpg,https://juicegels.com/images/products/il_fullxfull.6555330394_ivid.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0015?shape=Almond&length=Long,Juicegels_BloomingTipsSet_Almond,Almond,Long
JUICEGELS-0016,Stellar Shine Set,Stellar Shine Set - Square,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0016_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0016?shape=Square&length=Short,Juicegels_StellarShineSet_Square,Square,Short
JUICEGELS-0017,Stellar Shine Set,Stellar Shine Set - Square,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0017_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0017?shape=Square&length=Medium,Juicegels_StellarShineSet_Square,Square,Medium
JUICEGELS-0018,Stellar Shine Set,Stellar Shine Set - Square,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0018_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0018?shape=Square&length=Long,Juicegels_StellarShineSet_Square,Square,Long
JUICEGELS-0019,Stellar Shine Set,Stellar Shine Set - Oval,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0019_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0019?shape=Oval&length=Short,Juicegels_StellarShineSet_Oval,Oval,Short
JUICEGELS-0020,Stellar Shine Set,Stellar Shine Set - Oval,"Clear glitter base with pearls, 3d bow and 3d silver planet charm.- Handmade- Available shapes: square, oval, stiletto, coffin- Please send your nail sizes using the provided measuring method for true-to-fit sizes- Includes mini nail file & wooden cuticle pusher",17.5,GBP,20,"clear_nails,silver_nails,gel_press_ons,press_on_nails,bow_nails",,docs/images/products/JUICEGELS-0020_il_fullxfull.7161299165_fx9v.jpg,https://juicegels.com/images/products/il_fullxfull.6603615867_gl83.jpg,https://juicegels.com/images/products/il_fullxfull.6555495342_gllx.jpg,https://juicegels.com/images/products/il_fullxfull.6603615869_4kcv.jpg,,,,,,,new,in stock,https://juicegels.com/product/JUICEGELS-0020?shape=Oval&length=Medium,Juicegels_StellarShineSet_Oval,Oval,Medium
